Branch,Talker,Event,Content,Key,Part
0,,,당신은 이상한 물건을 팔고 있는 수상해 보이는 사내를 만났다.,,
0,,,무엇을 할까?,,
0,,Choice,무시한다.,IG,
0,,Choice,이야기한다.,Talk,
0,,Choice,거래한다.,Deal,
0,,ChoiceEnd,,,
IG,,,당신은 수상한 사내를 무시하고 지나쳤다.,,
Talk,,,당신은 수상한 사내와 이야기를 해보기로 했다.,,
Talk,INT,CheckStatusByDungeonDifficulty,10,t/f,
f,,,이야기를 해보니 불우 이웃을 위해 자선 사업을 하는 좋은 사내였거 같다.,,
f,Gold,IncreaseStatus,-500,,
f,,,당신은 그에게 소정의 돈을 기부 하였다.,,
t,,,이야기를 듣다보니 그가 사기꾼인거 같았다.,,
t,,,당신은 무엇을 할까?,,
t,,Choice,설전을 벌인다.,TF,
t,,Choice,문답무용 쓰러트린다.,FG,
t,,ChoiceEnd,,,
TF,INT,CheckStatusByDungeonDifficulty,15,SU/FA,
SU,,PlayVoice,BattleWin,,
SU,,,당신은 그가 사기꾼임을 인정하게 만들었다.,,
SU,EXP,IncreaseStatus,30,,
SU,INT,IncreaseStatus,2,,
SU,,,당신은 이번 경험을 통해 경험치를 얻고 지력이 증가하였다.,,
FA,,PlayVoice,Die,,
FA,Gold,IncreaseStatus,-750,,
FA,,,당신은 역으로 설득을 당해버려 돈을 뜯겨버렸다.,,
FA,EXP,IncreaseStatus,20,,
FA,INT,IncreaseStatus,1,,
FA,,,당신은 이번 일을 통해 약간의 경험을 얻어 경험치를 얻고 지력이 증가하였다.,,
FG,ATK,CheckStatusByDungeonDifficulty,10,CS/IL,
CS,,PlayVoice,BattleWin,,
CS,,,당신은 그를 쓰러트리는데 성공하였다.,,
CS,Gold,IncreaseStatus,500,,
CS,EXP,IncreaseStatus,50,,
CS,,,그의 사체에서 당신은 소정의 돈을 얻고 약간의 경험치를 얻었다.,,
IL,,PlayVoice,Die,,
IL,HP,IncreaseStatusByDungeonDifficulty,-75,,
IL,,,당신은 그를 쓰러트리는데 실패하였고 약간의 데미지를 입었다..,,
Deal,,,무엇을 살까?,,
Deal,,Choice,낡아 보이는 책,Book,
Deal,,Choice,검은색 꽃,Flower,
Deal,,Choice,노란색 포션,Potion,
Deal,,ChoiceEnd,,,
Book,Gold,CheckStatus,749,BookSC/BuyFail,
Flower,Gold,CheckStatus,999,FlowerSC/BuyFail,
Potion,Gold,CheckStatus,499,PotionSC/BuyFail,
BuyFail,,,당신은 돈이 부족하여 물건을 구매하지 못 하였다..,,
BookSC,Gold,IncreaseStatus,-750,,
BookSC,,,당신은 낡은 책을 구매하였다.,,
BookSC,,,낡은 책은 마도서였다!,,
BookSC,MAK,IncreaseStatus,3,,
BookSC,MDF,IncreaseStatus,3,,
BookSC,,,마력과 저항력이 증가하였다!,,
FlowerSC,Gold,IncreaseStatus,-1000,,
FlowerSC,,,당신은 검은색 꽃을 구입하였다.,,
FlowerSC,,,당신은 검은색 꽃의 향을 맡아보니 왠지 기운이 넘치는 느낌이다!,,
FlowerSC,MaxHP,IncreaseStatus,20,,
FlowerSC,STA,IncreaseStatus,5,,
FlowerSC,,,최대 체력과 재생력이 증가하였다!,,
PotionSC,Gold,IncreaseStatus,-500,,
PotionSC,,,당신은 노란색 포션을 구매하였다!,,
PotionSC,,,노란색 포션을 바로 마셔 보기로 하였다.,,
PotionSC,HP,IncreaseStatus,500,,
PotionSC,MP,IncreaseStatus,500,,
PotionSC,,,체력과 마나가 회복되었다!,,
